,NCBR,Yerkes29,CIVET,fsLR,CIVETNMT,D99,MEBRAINS,NMT2Sym,Yerkes19
NCBR,1.0,,,,,,,,
Yerkes29,,1.0,,,,,,,
CIVET,,,1.0,0.9960014825913683,,,,,
fsLR,,,,1.0,,,,,0.9457480168042282
CIVETNMT,,,,,1.0,0.9576168655456008,0.9753817827495019,0.9724388326488663,0.855565824632077
D99,,,,,,1.0,0.9823883284700814,0.9720942393389963,0.9188137811849824
MEBRAINS,,,,,0.9401152258361407,0.966625209955551,1.0,0.9581191516321419,0.9610792318302077
NMT2Sym,,,,,0.9704540402528915,0.9639280783997756,0.9920598899308728,1.0,0.9703798967732502
Yerkes19,,,,0.9417346926831448,0.992494933757747,0.9305594084936352,0.9883409257874414,0.953116305034329,1.0
