,NCBR,Yerkes29,CIVET,fsLR,CIVETNMT,D99,MEBRAINS,NMT2Sym,Yerkes19
NCBR,1.0,,,,,,,,
Yerkes29,,1.0,,,,,,,
CIVET,0.8381849377707685,,1.0,0.8930466478013159,0.9539831319063449,0.9417359688893407,0.8943573979766859,0.8927932710977718,0.9294837992425826
fsLR,0.9881238396328799,,,1.0,0.7325028362816165,0.8504767586664622,0.4951907708365303,0.6517135248131121,0.6662234961994798
CIVETNMT,0.9535402717773339,,,0.9548916881933125,1.0,0.9827294594613257,0.9418485387522336,0.9630524483700157,0.6354728215323332
D99,0.862702376237557,,,0.9010543850583734,,1.0,0.8720959017737695,0.9125802459633391,0.9165347351900741
MEBRAINS,0.6187222377450724,,,0.6956721141735884,0.9321821445625306,0.8725169591218405,1.0,0.8814949105437482,0.9645108911557194
NMT2Sym,0.7762620519897238,,,0.8309148382266179,0.9577479481328497,0.9557885942216495,0.8582904472532389,1.0,0.9337406809884407
Yerkes19,0.6676520480789545,,,0.7400534291477624,0.98574073182384,0.9129501210520838,0.9780363894703828,0.9668083283174159,1.0
