,NCBR,Yerkes29,CIVET,fsLR,CIVETNMT,D99,MEBRAINS,NMT2Sym,Yerkes19
NCBR,1.0,,,,,,,,
Yerkes29,,1.0,,,,,,,
CIVET,0.780909562790557,,1.0,0.9895248388230858,0.9420072317199424,0.9135880347367201,0.5731384949991669,0.8874413770347205,0.9056038870640778
fsLR,0.8218257576023745,,,1.0,0.949746397109939,0.9365696633950585,0.5611802444448026,0.8542676343944829,0.9137291229920969
CIVETNMT,0.6629785569113869,,,0.789240890648149,1.0,0.9972818606637902,0.6826498977247092,0.9505745413956025,0.6815823667147844
D99,0.8948843943274869,,,0.9470455731970564,,1.0,0.6622469926731536,0.8825422685251224,0.9624105190445784
MEBRAINS,0.930513094767469,,,0.6544694954088917,0.7242805199685646,0.692725413398042,1.0,0.8291357898738168,0.8535285275715354
NMT2Sym,0.8968718333932589,,,0.9112507670503346,0.9582355294419974,0.9435662806376283,0.8036196402317064,1.0,0.9672723904122231
Yerkes19,0.9394939003837423,,,0.9051561510084045,0.9771661389835905,0.9585866742810347,0.8429027386218354,0.9448321642660461,1.0
