,NCBR,Yerkes29,CIVET,fsLR,CIVETNMT,D99,MEBRAINS,NMT2Sym,Yerkes19
NCBR,1.0,,,,,,,,
Yerkes29,,1.0,,,,,,,
CIVET,0.9669776256940584,,1.0,0.9960014825913683,0.9030474788504886,0.9216821612525731,0.9694385738857656,0.9307327106997951,0.928774063348654
fsLR,0.9815388462275574,,,1.0,0.9226983977925818,0.9311456620417404,0.9746373858602079,0.9449965391057806,0.9457480168042282
CIVETNMT,0.85264085643379,,,0.8994685257107843,1.0,0.9576168655456008,0.9753817827495019,0.9724388326488663,0.855565824632077
D99,0.8757993783911565,,,0.9103975335868446,,1.0,0.9823883284700814,0.9720942393389963,0.9188137811849824
MEBRAINS,0.9425409561620673,,,0.9660421597209407,0.9401152258361407,0.966625209955551,1.0,0.9581191516321419,0.9610792318302077
NMT2Sym,0.9297191340386695,,,0.9301792578393296,0.9704540402528915,0.9639280783997756,0.9920598899308728,1.0,0.9703798967732502
Yerkes19,0.9619850828392505,,,0.9417346926831448,0.992494933757747,0.9305594084936352,0.9883409257874414,0.953116305034329,1.0
